,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
375,BiH,Pojedini dijelovi Sarajeva danas bez vode zbog popravki kvarova,"Kako javlja KJKP ""Vodovod i kanalizacija"" danas će u Sarajevu zbog popravke kvarova doći do prekida u vodosnabdijevanju u većem broju naselja.",18.01.2017. u 09:23
376,BiH,"Konaković o stanju u ViK-u: Nemaju mjerač protoka, ali zato izvršni direktor ima službeni auto i vozača","Premijer Kantona Sarajevo Elmedin Konaković žestoko je kritikovao upravu Kantonalnog javnog komunalnog preduzeća ""Vodovod i kanalizacija"" d.o.o. Sarajevo (ViK), poručujući kako je došlo 5 do 12 za drastičnu promjenu stvari u ViK-u.",17.01.2017. u 08:02
377,BiH,Kao u ratu: Cisterne u Sarajevu dostavljaju vodu građanima koji ih dočekuju sa kanisterima,"Cisterna KJKP ""Vodovod i kanalizacija"" u ponedjeljak poslijepodne obišla je lokacije u Kantonu Sarajevo isporučivši vodu građanima koji danima imaju probleme sa redovnom isporukom čiste vode.",16.01.2017. u 17:50
378,BiH,ViK od Vlade KS traži 10 miliona KM za 2017. za rekonstrukciju najugroženijih cjevovoda,"Uprava KJKP Vodovod i kanalizacija Sarajevo i Operativni štab te kompanije danas su održali vanredni sastanak, kako bi razmotrili mogućnosti rješenja za novonastalu situaciju i sve učestalije probleme na vodovodnoj mreži.",15.01.2017. u 12:33
379,BiH,Obrazloženje ViK-a: Resursi kojima raspolažemo nisu dovoljni za rješavanje problema vodosnadbijevanja,"KJKP Vodovod i kanalizacija oglasio se još jednim saopćenjem u kojem poručuju kako se prethodnih nekoliko dana, zbog teških vremenskih uslova, susreću s možda najtežom situacijom na terenu u proteklih nekoliko godina.",14.01.2017. u 13:47
380,BiH,"Snijeg stvara probleme Tuzlacima, pojedina naselja bez struje i vode","Snježne padavine koje su sinoć zadesile područje Tuzle građanima su danas prouzrokovale probleme. Saobraćaj se odvija otežano, pojedina naselja su bez električne energije, a u prekidu je i snabdijevanje pitkom vodom.",14.01.2017. u 12:17
381,BiH,"ViK: Mnoga naselja bez vode zbog kvara na glavnom cjevovodu, do 15 sati normalizacija vodosnabdijevanja","Mnoga sarajevska naselja od jutros su nenajavljeno bez vode, a iz KJKP Vodovod i kanalizacija su saopćili da je uzrok kvar na glavnom cjevovodu. Normalizacija u vodosnadbijevanju očekuje se do 15 sati.",14.01.2017. u 11:34
382,BiH,"Brojna sarajevska naselja i dalje bez vode: Građani ogorčeni, ViK se ne oglašava",Bez ikakve prethodne najave građani većeg dijela Sarajeva jutros su se probudili bez vode.,14.01.2017. u 09:27
383,BiH,Zbog otapanja leda u sarajevskom naselju Breka pukla vodovodna cijev,"Sibirski val koji je BiH i regiji donio ekstremno niske temperature pokazuje svoje posljedice. Građani su, usljed minusa, imali velikih problema s vodosnabdijevanjem, a čini se da pravi problemi tek počinju.",13.01.2017. u 15:49
384,BiH,ViK ne mari za minuse: Redukcije vode u Sarajevu od ponoći do jutra,"Uprkos iznimno niskim temperaturama, Kantonalno javno komunalno preduzeće Vodovod i kanalizacija d.o.o. Sarajevo tokom noćnih sati ponovo vrši obustave isporuke vode.",09.01.2017. u 20:24
385,BiH,VIK savjetuje građane kako da zaštite vodomjere od smrzavanja,"Najava niskih temperatura i slaba zaštićenost vodomjera mogu prouzrokovati pucanja stakla vodomjera, a često i oštećenje kompletnoga vodomjera usljed
smrzavanja vode.",04.01.2017. u 15:04
386,BiH,"Filtersko postrojenje ""Vogošća"" čeka na rekonstrukciju i modernizaciju","U skladu sa rekonstrukcijom i modernizacijom vodovodnog sistema filtersko postrojenje ""Vogošća"" bit će stavljeno u plan investicija s ciljem obezbjeđenja dugoročne pouzdanosti korištenja vode iz Vogošćanskog potoka i Peračkog vrela, saopćeno je iz Vodovoda i kanalizacije.",27.12.2016. u 10:00
387,BiH,Tokom dana prekid vodosnabdijevanja u naselju Hrasnica,Zbog nastavka radova na povezivanju vodovodne mreže u ulici Šehitluci i Hrasnička Cesta danas će dolaziti do prekida u vodosnabdijevanju u sarajevskom naselju Hrasnica.,21.12.2016. u 10:26
388,BiH,"""Vanredni kvar"" na vodovodnoj mreži: Dio Sarajeva ponovo bez vode","Osim redovnih održavanja vodovodne mreže u Sarajevu zbog kojih često dolazi do smanjenja pritiska ili potpune obustave isporuke vode, u Sarajevu nisu rijetki niti ""vanredni kvarovi"". Jedan takav se danas dogodio i upravo zbog toga je obustavljena isporuka vode u nekoliko sarajevskih naselja.",20.12.2016. u 18:19
389,BiH,Prekidi u vodosnabdijevanju padinskog dijela Trebevića,"Radovi na povezivanju cjevovoda na lokalitetu Trebević hotel ""Pino"" planirani su za danas i doći će do prekida u vodosnabdijevanju padinskog dijela Trebevića.",20.12.2016. u 10:05
390,BiH,Popravljen kvar na kablu zbog kojeg je veliki dio Sarajeva danas bio bez vode,"Novi val kvarova i poremećaja u opskrbljivanju vodom potrošača u Sarajevu prouzrokovao je danas velike frustracije korisnika usluga KJKP Vodovod i kanalizacija, a iz ovog javnog preduzeća ponovo mole za razumijevanje i ističu da su njihove ekipe na terenu i završavaju popravke.",17.12.2016. u 19:20
391,BiH,"Vodovodsnabdijevanje u KS još nije potpuno normalizovano, u rad pušteno deset bunara","Vodosnabdijevanje u većem dijelu Kantona Sarajevo još nije normalizivano. Kako je saopćeno iz KJKP Vodovod i kanalizacija Sarajevo trenutno je u funkciju pušteno deset bunara sa izvorišta Bačevo, a jedan bunar je izdvojen iz napajanja.",17.12.2016. u 13:15
392,BiH,"Veći dio Kantona Sarajevo jutros bez vode, iz ViK-a mole za strpljenje","Građani većeg dijela Kantona Sarajevo i jutros su bez vode, a ovaj put nenajavljeno.",17.12.2016. u 08:30
393,BiH,Sarajevo: Dijelovi grada danas bez vode zbog popravki i rekonstrukcija,Zbog radova na rekonstrukciji vodovodne mreže u dijelu naselja Hrasnica danas će dolaziti do povremenih prekida u vodosnadbijevanju.,15.12.2016. u 09:39
394,BiH,Nepotizam u sarajevskom Vodovodu: Političkim i rodbinskim vezama zaposleno 30 osoba,"Grupa radnika Kantonalnog javnog komunalnog preduzeća (KJKP) Vodovod i kanalizacija se obratila portalu Klix.ba ukazujući na nepotizam prilikom zapošljavanja u ovo preduzeće. Kako su naveli u svom pismu, većina ih više od deset godina radi uz ugovor na određeno vrijeme, a 30-ak osoba koje su zaposlene prije nešto više od pola godine dobile su ugovor na neodređeno vrijeme putem političkih i rodbinskih veza.",13.12.2016. u 08:09
395,,Gluhi telefoni i zavrnuta česma: Ko je kriv za neodržavanje baleta Labuđe jezero,"Propusti koji su doveli do otkazivanja baletne predstave na ledu državnog baleta iz St. Petersburga u Sarajevu, nakon što produkcijski tim zbog redukcije vode nije bio u mogućnosti kreirati ledenu površinu, razočarali su ljubitelje kulture u našoj zemlji.",12.12.2016. u 17:44
396,BiH,Edin Forto: Otkaz direktoru Vodovoda ili ostavka nadležnog ministra,Zastupnik Naše stranke u Skupštini Kantona Sarajevo Edin Forto reagovao je povodom iznošenja netačnih informacija Vodovoda i kanalizacije u vezi sa redukcijom vode u nedjelju na području Sarajeva.,12.12.2016. u 12:30
397,BiH,Normalizovano vodosnabdijevanje u većem dijelu Sarajeva,"Nakon što je veći dio grada Sarajeva bio bez vode od devet sati ujutro, vodosnabdijevanje je konačno normalizovano oko 20 sati.",11.12.2016. u 22:16
398,BiH,Zenica dobila 20 miliona eura grant sredstava za sanaciju otpadnih voda,"U zgradi Gradske uprave Zenice danas je predstavnik KfW misije Johannes Kannicht sa gradonačelnikom Zenice Fuadom Kasumovićem i direktorom Vodovoda i kanalizacije Ekremom Kahrimanom potpisao sporazum vrijednosti blizu 20 miliona eura, kojim će biti riješen problem otpadnih voda u Zenici.",17.11.2016. u 09:58
399,BiH,Novi Grad: Efendić i Hadžić obišli radove u Sokolju i Briješću,Općina Novi Grad Sarajevo u saradnji sa kantonalnim javnim preduzećem Vodovod i kanalizacija realizira dva značajna infrastrukturna projekta iz oblasti vodovodne i kanalizacione mreže u Naselju heroja Sokolje i Briješću.,16.11.2016. u 17:04
400,BiH,Kantonalna uprava civilne zaštite donirala preduzeću ViK dva rovokopača,"Direktor KJKP ""Vodovod i kanalizacija"" d.o.o. Sarajevo Nezir Hadžić sastao se u Službi za održavanje vodovodne mreže i objekata s direktorom Kantonalne uprave civilne zaštite Mustafom Kovačem.",01.11.2016. u 09:54
401,BiH,KJKP ViK Sarajevo:: Od Skenderije do Drvenije rekonstruirano 170 m vodovodne mreže,"U toku su radovi na polaganju cjevovoda profila DN 400 milimetara na dionici od mosta Skenderija do mosta Drvenija. Na navedenom potezu položen je privremeni vod za snabdijevanje vodom okolnih objekata. S puštanjem privremenog voda u funkciju, izvršeno je isključivanje cjevovoda DN 400mm iz sistema vodosnabdijevanja.",28.09.2016. u 12:23
402,BiH,Radnici KJKP ViK Sarajevo za godinu dana popravili 2409 kvarova,"U proteklih godinu dana Kantonalno javno komunalno preduzeće (KJKP) Vodovod i kanalizacija Sarajevo, realiziralo je mnoge projekte rekonstrukcije i izgradnje vodovodne i kanalizacione mreže na području Kantona Sarajevo. Većina od njih je završena, a neki su još u fazi realizacije.",27.09.2016. u 12:43
403,BiH,Za rekonstrukciju vodovodne mreže na području općine Novo Sarajevo blizu 750.000 KM,"Sporazum za rekonstrukciju oštećene i dotrajale vodovodne mreže na dionici od Veterinarskog fakulteta do Šentade u dužini od 700 metara te mreže u ulici Varaždinska na području općine Novo Sarajevo potpisali su danas ministar komunalne privrede i infrastrukture Kantona Sarajevo (KS) Senad Hasanspahić, načelnik te općine Nedžad Koldžo i direktor KJKP ""Vodovod i kanalizacija"" (ViK) Nezir Hadžić.",20.09.2016. u 12:33
404,BiH,Pokretanje prečistača na Butilama jedan je od najznačajnijih infrastrukturnih projekata u KS,"Realizacija projekta ""Upravljanje otpadnim vodama"", odnosno ugradnja i pokretanje prečistača na Butilama te rekonstrukcija dotrajale vodovodne mreže, teme su o kojima je danas premijer Kantona Sarajevo Elmedin Konaković razgovarao sa delegacijom Sektora za vode Svjetske banke za region Evrope koju je predvodio direktor David Michoud.",31.08.2016. u 12:31
405,,"Prečišćavanjem otpada s postrojenja u Butilama mogao bi se zagrijavati dio KS, moguć i izvoz energije","Prečišćavanjem otpadnih voda i mulja s Postrojenja za preradu Kantonalnog javnog komunalnog preduzeća Vodovod i kanalizacija (KJKP ViK) Butile, u narednom periodu mogao bi se zagrijavati i jedan dio Kantona Sarajevo. Kako su za Klix.ba kazali iz Fonda za zaštitu okoliša Federacije Bosne i Hercegovine, kapaciteti su trenutno dovoljni za zagrijavanje objekta Butile, ali bi istraživanja i projekti mogli dovesti i do povećanja kapaciteta.",19.08.2016. u 15:12
406,BiH,Sarajevo: Tokom SFF-a bez redukcija vode u užem gradskom jezgru,"Vodosnabdijevanje užeg gradskog jezgra tokom održavanja Sarajevo Film Festivala (SFF) bit će normalno, uz eventualno manje obaranje pritiska u ranim jutarnjim satima, odnosno u terminu od 3.00 do 5.00 sati, a koje može biti uzrokovano nekim posebnim situacijama koje se u ovom trenutku ne mogu predvidjeti.",10.08.2016. u 16:11
407,BiH,Pravi uzrok i dalje nepoznat: ViK redukcije vode u KS pravda i manjkom i viškom padavina,"Redukcije vode u Kantonu Sarajevo već godinama Sarajlijama zadaju ozbiljne probleme. Iz KJKP Vodovod i kanalizacija tokom sušnih perioda manjak vode pravdaju nedostatkom padavina. Međutim, i kada pada kiša u Sarajevu, umjesto da se snabdijevanje reguliše, u nekim dijelovima grad redukcije su čak i produžene.",07.08.2016. u 13:29
408,BiH,KJKP ViK: Vremenske neprilike zamutile vrela u KS,"Zbog nedavnih vremenskih neprilika koje su zadesile Kanton Sarajevo došlo je do zamućenja slijedećih vrela u sistemu vodosnabdijevanja KS: Peračko vrelo, Vrelo Crnil, Vrelo Vode.",29.07.2016. u 16:34
409,BiH,Veći dio Sarajeva večeras bio bez vode: Otklonjen kvar na izvorištu Bačevo,Veći dio glavnog grada Bosne i Hercegovine večeras je bio bez urednog vodosnabdijevanja zbog kvara na izvorištu Bačevo koji je u večernjim satima otklonjen.,23.07.2016. u 00:42
410,BiH,Počeli radovi na rekonstrukciji vodovodne mreže koja napaja centralnu jezgru Sarajeva,"Radovi na rekonstrukciji vodovodne mreže od Skenderije do Vijećnice, na području općina Centar i Stari Grad, u dužini od dva kilometra počeli su danas. Radove izvodi firma Mibral d.o.o. s čijim su predstavnicima mjesto početka radova danas obišli premijer Kantona Sarajevo Elmedin Konaković, ministar komunalne privrede i infrastrukture Senad Hasanspahić i direktor Kantonalnog javnog komunalnog (KJKP) Vodovod i kanalizacija Nezir Hadžić.",19.07.2016. u 14:55
411,BiH,Konaković: Pojedince koji su se bavili nedozvoljenim radnjama u ViK-u poslati iza rešetaka,Premijer Kantona Sarajevo Elmedin Konaković za Klix.ba je komentarisao informaciju da Tužilaštvo KS provjerava navode prijave o navodnim nezakonitim radnjama u preduzeću Vodovod i kanalizacija.,07.07.2016. u 18:07
412,BiH,Tužilaštvo KS provjerava navode prijave za višemilionsku štetu u preduzeću ViK Sarajevo,"Na inicijativu Vlade Kantona Sarajevo i njenog Tima za borbu protiv korupcije, Tužilaštvo Kantona Sarajevo poduzima istražne aktivnosti u cilju dokumentovanja i rasvjetljavanja okolnosti nezakonitih postupanja odgovornih rukovodnih osoba i zaposlenika u KJKP “Vodovod i kanalizacija” d.o.o. Sarajevo u kojima je počinjena višemilionska šteta i dovedeno u pitanje stabilno pružanje komunalnih usluga, odnosno isporuka vode građanima Kantona Sarajevo, saopćeno je iz Vlade KS.",07.07.2016. u 15:53
413,BiH,Uzrok zagađenosti Vrela Bosne mogu biti životinje koje borave u slivnom području,"Voda i kao i sve ostale prirodne izvorske vode podložna je uticaju prirodnih procesa i uticaju ljudskih aktivnosti u slivnom području. Prema tome, uzrok pojave manjeg broja koliformnih bakterija u vodi na Vrelu Bosne mogu biti životinje koje borave u slivnom području, kazali su Feni u Službi informiranja Kantonalnog javnog komunalog preduzeća ""Vodovod i kanalizacija"" Sarajevo.",06.07.2016. u 08:49
414,BiH,"Sarajevo: Zagađena voda u naselju Šip, radnici Vodovoda provjeravaju ispravnost","Posljednjih nekoliko dana stanovnici ulice Branilaca Šipa, u sarajevskom naselju Šip, proživljavaju pravu agoniju s pitkom vodom. Naime, nakon što su primjetili da je u posljednje vrijeme voda koju koriste pomiješana s kanalizacijom, obratili su se nadležnim službama Kantonalnog javnog komunalnog preduzeća (KJKP) Vodovod i kanalizacija.",04.07.2016. u 22:00
415,BiH,Sarajevo: Počela rekonstrukcija kanalizacione mreže u naselju Šip,"Na osnovu Sporazuma čiji su potpisnici KJKP Vodovod i kanalizacija d.o.o Sarajevo i Općina Centar, otpočela je aktivnost na izgradnji i rekonstrukciji kanalizacione mreže u ul. Dejzina Bikića naselje Šip.",28.06.2016. u 16:44
416,BiH,Forto u Skupštini KS: Koliko ljudi je u proteklom periodu zaposleno u Vodovodu?,Zastupnik Naše stranke u Skupštini Kantona Sarajevo Edin Forto tokom današnje sjednice skupštine postavio je pitanje o broju osoba zaposlenih u Kantonalnom javnom komunalnom preduzeću Vodovod i kanalizacija.,01.06.2016. u 10:54
417,BiH,Analize pokazuju da je izvorište Vrelo Bosne i dalje zagađeno fekalijama: Iz Vodovoda tvrde da je voda pitka,"Voda s izvora Vrela Bosne i dalje je zagađena, pokazuju podaci Zavoda za javno zdravstvo Kantona Sarajevo (ZZJS KS). Voda je zagađena fekalnim bakterijama, a prisutna je i E. Coli, potvrdila je za Klix.ba Lejla Hatibović, rukovoditeljica radne jedinice ZZJS KS.",27.05.2016. u 07:56
418,BiH,Potpisan sporazum o rekonstrukciji vodovodne mreže u KS: Cilj je smanjiti redukcije vode,"Potpisan je sporazum o rekonstrukciji vodovodne mreže u Kantonu Sarajevo, a potpisali su ga ministar komunalne privrede i infrastrukture KS Senad Hasanspahić, načelnik Općine Stari Grad Ibrahim Hadžibajrić, savjetnik načelnika Općine Centar Mustafa Resić, pomoćnik općinskog načelnika Novog Grada Emir Dedović i direktor Kantonalnog javnog komunalnog preduzeća (KJKP) ""Vodovod i kanalizacija"" Nezir Hadžić.",20.05.2016. u 12:38
419,BiH,"Elmedin Konaković, premijer KS: Kraj redukcija vode možemo očekivati sljedeće godine","Elmedin Konaković, premijer KS, za Klix.ba govori o aktuelnim pitanjima u Kantonu Sarajevo. Konaković dosadašnji rad vlade na čijem je čelu ocjenjuje pozitivno, uz napomenu da uvijek može i treba bolje. Dodaje i da svi ključni parametri pokazuju napredak u proteklim mjesecima.",27.04.2016. u 07:57
420,BiH,"""Napad"" na vodovodne cijevi: Novac osiguran, Vlada KS najavila početak opsežnih radova","Ako je suditi prema optimističnim najavama Vlade Kantona Sarajevo, građani glavnog grada BiH bi u narednih 30 dana mogli vidjeti početak velikog projekta rekonstrukcije vodovodne mreže.",21.04.2016. u 11:18
421,BiH,Prijavite nelegalne priključke: VIK uspostavio liniju za anonimne pozive,"Kantonalno javno komunalno preduzeće ""Vodovod i kanalizacija"" d.o.o. Sarajevo uspostavilo je telefonski broj za anonimne prijave putem kojeg građani mogu prijaviti sve nelegalne aktivnosti koje uoče na terenu u pogledu nelegalnih priključaka na vodovodnoj i kanalizacionoj mreži.",15.04.2016. u 11:28
422,BiH,Neplatiše duguju sarajevskom Vodovodu skoro 12 miliona KM u posljednje tri godine,"U posljednje tri godine KJKP ""Vodovod i kanalizacija"" d.o.o Sarajevo je pokrenluo 169.409 naplata potraživanja putem suda ukupne vrijednosti 16,5 miliona KM. Od toga je putem Suda naplaćeno 4,6 miliona KM, saopćeno je iz VIK-a.",14.04.2016. u 13:34
423,,Direktor ViK-a Nezir Hadžić: Za svaki problem koji želimo riješiti potrebni su nam milioni,"Građani Kantona Sarajevo će u narednom periodu svakodnevno biti bez redovnog vodosnabdijevanja, s obzirom na to da počinje obnova vodovodnog sistema, najavio je u razgovoru za Klix.ba generalni direktor Kantonalnog javnog komunalnog preduzeća Vodovod i kanalizacija Nezir Hadžić.",11.04.2016. u 10:30
424,BiH,"U ViK za tri mjeseca zaposlene 22 osobe bez konkursa, nadležni kažu da je sve po zakonu","U Kantonalno javno komunalno preduzeće Vodovod i kanalizacija od početka ove godine zaposlene su 22 osobe, bez konkursne procedure. Informaciju je za Klix.ba potvrdio nedavno imenovani direktor preduzeća Nezir Hadžić.",05.04.2016. u 19:44
425,BiH,"Sarajevo: Pukla glavna cijev na Skenderiji, bez vode ulice u Starom Gradu i Centru","U sarajevskom naselju Skenderija sinoć je pukla glavna vodovodna cijev, zbog čega stanovnici općina Stari Grad i Centar nemaju vode.",03.04.2016. u 09:42
426,,"Sarajevski Vodovod nastavlja borbu s nelegalnim potrošačima vode, kazne i do 30.000 KM","Kantonalno javno komunalno preduzeće ""Vodovod i kanalizacija"" nastavlja kontrolu i isključenja spornih potrošača s vodovodne mreže, nakon što je jučer skupština Kantona Sarajevo po hitnom postupku, usvojila Zakon o komunalnim djelatnostima.",31.03.2016. u 16:41
427,BiH,"VIK Zenica obilježio Svjetski dan voda: Projekat ""Plava voda"" je budućnost vodosnabdijevanja Zenice",Povodom obilježavanja Svjetskog dana voda u Hotelu Dubrovnik u Zenici danas je upriličena svečanost u organiciji Javnog preduzeća Vodovod i kanalizacija Zenica.,22.03.2016. u 16:30
428,BiH,Dogovoreni detalji milionskog kredita: Očekuje se smanjenje redukcija vode i obnova vodovodne mreže u Sarajevu,"Redukcije i visoki računi za vodu su problemi koji građanima Kantona Sarajevo zadaju najviše glavobolje. Skoro da i ne prođe noć, a da Kantonalno javno komunalno preduzeće Vodovod i kanalizacija od ponoći do pet sati ujutro ne zavrne svoje ventile.",20.02.2016. u 08:00
429,BiH,Veći dio Sarajeva bez vode zbog kvara u Buća Potoku,"Iako su iz preduzeća Vodovod i kanalizacija (ViK) najavili da će određeni dijelovi Sarajeva danas u periodu od 9 do 16 sati imati smanjenu isporuku vode, zbog kvara u Buća Potoku, veći dio grada još uvijek nema vodu.",19.02.2016. u 18:43
430,BiH,Veći dio Sarajeva bez vode zbog kvara u Buća Potoku,"Iako su iz preduzeća Vodovod i kanalizacija (ViK) najavili da će određeni dijelovi Sarajeva danas u periodu od 9 do 16 sati imati smanjenu isporuku vode, zbog kvara u Buća Potoku, veći dio grada još uvijek nema vodu.",19.02.2016. u 18:43
431,BiH,"Iz ViK-a poručuju: Snabdijevanje vodom Titove ulice je uredno, netačno je da vode nema 12 dana","Građani Titove ulice iz Sarajeva prethodnih dana žalili su se na neredovno vodosnabdijevanje koje navodno traje više od deset dana. Međutim, iz javnog preduzeća Vodovod i kanalizacija (ViK) Sarajevo ističu kako takve informacije nisu tačne te da je jedino u noćnom terminu smanjen pritisak vode.",15.02.2016. u 17:20
432,BiH,"Građani u sarajevskoj ulici Maršala Tita već 11 dana nemaju vode, problem detekcija kvara","Građani najprometnije i jedne od najpoznatijih sarajevskih ulica - Maršala Tita već 11 dana nemaju vode. Iako su na teren izlazili radnici preduzeća Vodovod i kanalizacija (ViK), kao i Sarajevostana, kvar još nije otklonjen, a građani su primorani vodu sakupljati u kanistere i flaše.",12.02.2016. u 16:46
433,BiH,Počinju intenzivni radovi na završetku kružnog toka u Buća Potoku,"Nakon što su završili prespajanje glavnog potisnog cjevovoda na novoizgrađeni, radnici građevinske firme Euro-Asfalt od večeras će početi sa 24-satnim izvođenjem radova na dovršetku kružnog toka u Buća Potoku.",03.02.2016. u 17:00
434,BiH,Uskoro obnova vodovodne mreže u Sarajevu: Prva tranša kredita 10 miliona eura,Rekonstrukcija 80 kilometara dotrajale vodovodne mreže u Sarajevu trebalo bi da počne naredne godine iz kredita od 30 miliona eura koji će biti podijeljen u tri jednake tranše.,02.02.2016. u 10:15
435,BiH,"Sarajevo: Nepoznata osoba oštetila rezervoar, normalizacija snabdijevanja vodom iza 17 sati","Snabdijevanje vodom u pojedinim sarajevskim naseljima bit će uspostavljeno tokom dana, a nakon što je ispražnjen rezervoar na Humu.",28.12.2015. u 16:31
436,BiH,"Oštećen humski rezervoar, Pofalićima zatvorena voda zbog opasnosti od onečišćenja","Nakon dojave o provali u jedan od rezervoara vode u gradu Sarajevu, KJKP ""Vodovod i kanalizacija"" preventivno je obustavilo isporuku vode pojedinim naseljima.",28.12.2015. u 15:25
437,BiH,Sarajevski Vodovod obilježio 126 godina,"KJKP ""Vodovod i kanalizacija"" d.o.o. Sarajevo obilježilo je danas 126 godina.",08.12.2015. u 15:05
438,BiH,Uskoro počinje izgradnja novog dječijeg igrališta na Soukbunaru,"Savjet Mjesne zajednice Soukbunar pokrenuo je inicijativu za izgradnju dječijeg igrališta uzlici Soukbunar između brojeva 195 i 197, na lokalitetu starog rezervoara.",03.11.2015. u 14:47
439,BiH,Prvi efekti kontrole nelegalnih priključaka: Prihodi ViK-a veći za 400.000 KM,"Samo u prvom mjesecu pojačanih kontrola, isključivanja nelegalnih priključaka te uvođenja u sistem novih korisnika na vodovodnu mrežu, septembarska faktura Vodovoda i kanalizacije bilježi 335.000 kubika više potrošene vode nego u prethodnom mjesecu, a to znači veći prihod od oko 400.000 KM, saopćeno je",20.10.2015. u 16:55
440,BiH,"ViK: Stanje i dalje loše, nema normalizacije bez obilnih padavina",Vodosnabdijevanje Sarajeva u dnevnim satima postepeno normalizuje u smislu smanjene potrošnje vode u zonama.,06.10.2015. u 08:24
441,BiH,Stanovnici naselja Park šokirani: Septembarski račun za vodu 500 KM,"Dok su redukcije vode u KS na snazi, čitatelji portala Klix.ba svakodnevno javljaju nove lokacije na kojima voda teče niz ulice jer je neka od cijevi pukla. Iz Vodovoda i kanalizacije brzo saniraju takve probleme, ali stanovnici naselja Park čekaju na rješenje svog problema od mjeseca maja.",05.10.2015. u 21:40
442,BiH,ViK: Apelujemo na građane da vodu koriste što racionalnije,"Iz Kantonalnog javnog komunalnog preduzeća Vodovod i kanalizacija d.o.o. Sarajevo istaknuli su da je stanje u hidrološkom smislu veoma loše, da su podzemne akumulacije u konstantnom padu, te da se ne očekuje poboljšanje bez obilnijih padavina.",01.10.2015. u 09:14
443,BiH,"ViK nema novca za popravak vodovodne mreže, ali ima za nabavku odijela za 69.000 KM",Preduzeće Vodovod i kanalizacija (ViK) proteklih se godina suočava s finansijskom dubiozom te stoga i nemogućnošću da ulaže u vodovodnu mrežu u gradu.,01.10.2015. u 08:21
444,BiH,ViK: Od 9 do 16 sati poremećaj vodosnabdijevanja u pojedinim ulicama,Vodosnabdijevanje Sarajeva se u dnevnim satima postepeno normalizuje u smislu smanjene potrošnje vode.,28.09.2015. u 09:57
445,BiH,Sabina Ćudić: Direktor Vodovoda treba podnijeti ostavku,"U vezi sa problemima u vodosnadbijevanju u gradu Sarajevu, oglasila se Sabina Ćudić, zastupnica Naše stranke u Skupštini Kantona Sarajevo.",23.09.2015. u 12:37
446,BiH,Voda za Kurban-bajram? ViK ne očekuje poboljšanje stanja bez obilne kiše,"S obzirom na teško stanje vodosnabdijevanja u glavnom gradu Bosne i Hercegovine, građani su izrazili zabrinutost u pogledu nadolazećeg Kurban-bajrama, a tokom kojeg je zbog vjerskih dužnosti potrebna više nego uobičajna količina vode.",22.09.2015. u 20:37
447,BiH,"ViK: Nema osnova za umanjenje računa, mi ne možemo utjecati na redukcije",Iz Kantonalnom javnog komunalnog preduzeća Vodovod i kanalizacija (ViK) za Klix.ba kažu da ne postoji osnov za umanjenje mjesečnih računa za utrošak vode iako se građani suočavaju i sa dnevnim i sa noćnim redukcijama.,22.09.2015. u 15:08
448,BiH,U Sarajevu vodu koristi 20.000 potrošača sa bespravnim priključcima,Preduzeće Vodovod i kanalizacija nedavno je pokrenulo akciju isključenja ilegalnih priključaka na vodovodnu mrežu.,20.09.2015. u 08:22
449,BiH,ViK: Poboljšanja u snabdijevanju vodom se ne očekuju bez obilnih padavina,"KJPK ""Vodovod i kanalizacija"" se oglasilo saopćenjem povodom stanja snabdijevanja vodom i redukcija s kojim su suočeni građani Sarajeva.",19.09.2015. u 21:12
450,BiH,"Vode u centru Sarajeva još nema, radnici rade na preusmjeravanju","Radnici KJKP Vodovod i kanalizacija Sarajevo cijelu noć su proveli na ulici pokušavajući riješiti kvar na glavnoj cijevi profila 400 mm na raskrsnici ulica Obala Kulina bana i Kulovića. Puklo je glavno čvorište, što je izazvalo veliko curenje vode.",19.09.2015. u 08:36
451,BiH,"Forto: Nakon uvođenja dnevnih redukcija vode, Vlada KS mora preuzeti odgovornost","Zastupnik Naše stranke u Skupštini Kantona Sarajevo Edin Forto pozvao je Vladu KS-a ""da preuzme odgovornost i kaže kako će njen ekspertski tim sistemski riješiti problem, kada će ga tačno riješiti i koliko će to koštati KS"", reagirajući na uvođenje i dnevne redukcije u vodosnadbijevanju grada Sarajeva.",18.09.2015. u 19:17
452,BiH,Iduće sedmice počinje izgradnja pumpne stanice Sokolje,"Načelnik Općine Novi Grad Sarajevo Semir Efendić i Ahmed Boloban, direktor firme Bujice d.o.o. potpisali su danas ugovor o izvođenju radova na izgradnji pumpne stanice Sokolje, koja će vodom snabdijevati naselja Zabrđe i dijelove Sokolja.",08.09.2015. u 15:40
453,BiH,Vodosnabdijevanje u Sarajevu i dalje otežano,"Vodosnabdijevanje Grada u dnevnim satima odvija i dalje otežano, saopćeno je iz preduzeća Vodovod i kanalizacija.",08.09.2015. u 09:08
454,BiH,"Vodosnabdijevanje u Sarajevu se normalizuje, smanjena potrošnja vode","Vodosnabdijevanje u gradu Sarajevu u dnevnim satima postepeno se normalizuje, saopćeno je iz KJKP Vodovod i kanalizacija.",06.09.2015. u 10:14
